name,basis_set,total_energy,Niter

Kr_dyallv3z                                   , 23s16p10d1f       , -2801.2925148237459 , 11
Kr_et_3z_start_from_maxall_dyallv3z           , 28s20p12d1f       , -2801.2924394673532 , 11
Kr_et_3z_start_from_maxelement_dyallv3z       , 27s21p12d1f       , -2801.2928109450445 , 11
Kr_et_3z_start_from_minall_dyallv3z           , 28s21p13d1f       , -2801.2926953534575 , 11
Kr_et_3z_start_from_minelement_dyallv3z       , 28s20p12d1f       , -2801.2925154096010 , 11
Kr_et_4z_start_from_maxall_dyallv3z           , 37s27p15d1f       , -2801.2935682724828 , 50*
Kr_et_4z_start_from_maxelement_dyallv3z       , 36s27p16d1f       , -2801.2935759429674 , 50*
Kr_et_4z_start_from_minall_dyallv3z           , 36s27p16d1f       , -2801.2935866823254 , 50*
Kr_et_4z_start_from_minelement_dyallv3z       , 37s26p16d1f       , -2801.2933431625356 , 50*
